949	generic	adjective	‘Vine fruit’ is the generic term for currants and raisins. | The doctor offered me a choice of a branded or a generic drug. | The movie was pretty boring, with a generic storyline and emotionless characters.
962	gross	adjective	Investments showed a gross (total) profit of 26 per cent. | a gross (disgusting) violation of human rights | ‘He ate it with mustard.’ ‘Oh, gross!’ | gross behaviour
963	gross	adjective	‘He ate it with mustard.’ ‘Oh, gross (total)!’
977	grave	adjective, noun	The police have expressed grave concern about the missing child's safety.
978	grave	adjective	He looked very grave (serious) as he entered the room.
979	handy	adjective	handy (useful) hints for removing stains | Always keep a first-aid kit handy (useful). | Lucy is quite handy (useful) with a drill! | The extra money came in very handy (useful).
988	high-profile	adjective	a high-profile (famous) campaign
989	harsh	adjective	The punishment was harsh (cruel) and unfair. | the harsh (cruel) conditions of poverty which existed for most people at that time | She was caught in the harsh (cruel) glare of the headlights. | ‘Stop it!’ she said in a harsh (cruel) voice. | Ordinary soap can be too harsh (cruel) for delicate skin.
995	halfway	adverb	It's about halfway (midway) between London and Bristol. | This only goes halfway (midway) to explaining what really happened. | Any halfway (midway) decent map will give you that information. | If he was prepared to apologize, the least she could do was meet him halfway (midway) and accept some of the blame.
996	hopeful	adjective	I feel hopeful (optimistic) that we'll find a suitable house very soon. | a hopeful smile | The latest trade figures are a hopeful sign.
1005	humanitarian	adjective	They are calling for the release of the hostages on humanitarian grounds. | These floods are the worst humanitarian disaster the country has seen.
1006	humble	adjective	Be humble (modest) enough to learn from your mistakes. | In my humble (modest) opinion, you were in the wrong. | the daughter of a humble (modest) shopkeeper | The company has worked its way up from humble (modest) beginnings to become the market leader. | Be humble (modest) enough to learn from your mistakes.
1007	ideological	adjective	This was rejected for ideological (ideologic) reasons.
1014	imminent	adjective	The system is in imminent (impending) danger of collapse.
1017	inclined	adjective	She was inclined (prone) to trust him. | He's inclined (prone) to be lazy. | I'm inclined (prone) to agree with you. | The club was a notorious hang-out for the criminally inclined (prone). | She was inclined (prone) to trust him.
1018	inadequate	adjective	The system is inadequate (not adequate) for the tasks it has to perform. | I felt totally inadequate (not adequate) as a parent.
1019	inappropriate	adjective	It would be inappropriate (unsuitable) for me to comment.
1027	infamous	adjective	a general who was infamous (notorious) for his brutality
1031	indigenous	adjective	She campaigns for indigenous (native) rights. | The kangaroo is indigenous (native) to Australia.
1032	inherent	adjective	Violence is inherent (intrinsic) in our society.
1034	influential	adjective	His conversation with the manager was influential (effective) in his decision to join United.
1047	insufficient	adjective	The management paid insufficient (inadequate) attention to working conditions.
1049	instrumental	adjective	The Conservation Trust performs an instrumental (helpful) role in the protection of rural environments. | The songs are largely instrumental (helpful). | the instrumental (helpful) case
1050	integral	adjective	Music is an integral part of the school's curriculum. | The unit comes complete with integral pump and heater. | an integral system
1051	institutional	adjective	institutional investors | The hotel rooms are rather drab and institutional. | institutional racism
1052	intact	adjective	Most of the house remains intact (undamaged) even after two hundred years.
1054	integrated	adjective	an integrated (collective) programme of patient care | an integrated (collective) school
1058	intensive	adjective	two weeks of intensive training | His disappearance has been the subject of intensive investigation. | Traditionally reared animals grow more slowly than those reared under intensive farming conditions.
1060	interim	adjective	The vice-president took power in the interim (temporary) period before the election. | The injured passenger received an interim (temporary) award of £50 000 damages.
1064	intermediate	adjective	Liquid crystals are considered to be intermediate between liquid and solid. | an intermediate skier/student
1065	intimate	adjective	We're not on intimate terms with our neighbours. | The article revealed intimate details about his family life. | He knew an intimate little cafe where they would not be disturbed. | an intimate knowledge of the English countryside | an intimate connection between class and educational success | an intimate connection between class and educational success
1066	interactive	adjective	A series of interactive (mutual) exhibits will teach visitors about the history of the bridge. | The school believes in interactive (mutual) teaching methods.
